id,offering_keys,type,tiers,supplier_key,product_key
f5a35e11701c4d6eb126a0e06abd4b4f,"[""1022eb59c0c749fb93a2604151a59b49""]",PRODUCT_DISCOUNT,"[{""DiscountPercentage"":0.8815689947168239,""UOM"":""Case"",""MinQty"":1,""MaxQty"":4235}]",,50e94105c4da4fcf8a7e31650c9418eb
1c7037d83a904c12a6ac50748bca04c7,"[""4d1941d888144a11ba62b9f00867eb4d""]",PRODUCT_DISCOUNT,"[{""DiscountPercentage"":0.9810201060211998,""UOM"":""Box"",""MinQty"":1,""MaxQty"":1728}]",,76c93ccd8cd54d64aad961e4ca8722bb
11ea62687f624dcb827d94d4b9f670a2,"[""f285bf771e2c45cb857201aec6bb6ba0""]",BULK_DISCOUNT,"[{""DiscountPercentage"":0,""UOM"":""Case"",""MinQty"":50,""MaxQty"":50},{""DiscountPercentage"":4.164384145503979,""UOM"":""Case"",""MinQty"":51,""MaxQty"":100},{""DiscountPercentage"":8.328768291007957,""UOM"":""Case"",""MinQty"":52,""MaxQty"":150},{""DiscountPercentage"":12.493152436511936,""UOM"":""Case"",""MinQty"":53,""MaxQty"":200}]",,77bb36d4c76b43ecacf373bb9bbb0682
b1ded7cab4534886a669cdca77b81f93,"[""d43083ffba3541418ef8b56c7d55addb"",""95723f810f2f4d26a52fc752a89f7b83"",""19ecc0e9a3f04d3eaddd3075964bfc52"",""7d7c77ea2c264446885446fb6475a85e"",""1a337a570d144c2198ca13f7e3a225a2"",""2a80a8668f234dc0977f42e6a5474153""]",SUPPLIER_DISCOUNT,"[{""DiscountPercentage"":0.870595831359105,""UOM"":""Box"",""MinQty"":1,""MaxQty"":9403},{""DiscountPercentage"":0.8995488801685595,""UOM"":""Box"",""MinQty"":1,""MaxQty"":184},{""DiscountPercentage"":0.8430095867938457,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":4675},{""DiscountPercentage"":0.5093255159182098,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":9227},{""DiscountPercentage"":0.38602549893715815,""UOM"":""Box"",""MinQty"":1,""MaxQty"":4222},{""DiscountPercentage"":0.5351285950602558,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":9663}]",a948dec440fe4058a717256313692b3d,
e1886324339b40d9b850546853d5eeae,"[""db1e948c425647d787c9ae36a5b5992b""]",PRODUCT_DISCOUNT,"[{""DiscountPercentage"":0.6467331465381514,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":1737}]",,9355d853c8bd4337ae8dd5a3680bb979
bc04050cfd454006a79e7f08bddc722b,"[""34bc628263fb4b21827a583cce112f2b"",""6282c40bd4284d2b8be173dae8fd645e"",""f0cf3a5c532d44449fbcb1dc76014f50"",""549d1946f45d4f25992332a0f82a20ce"",""56c607f977c14206878594312c2a63e9"",""24ef4645046b4f3b952b107a22f0eeec"",""9c61d325c12b44ceb90f846bc91d77e9"",""6030749c3a7541dda1dd552a09a5f516"",""8a579c9e49df42f5a24a6c6ca549caec""]",SUPPLIER_DISCOUNT,"[{""DiscountPercentage"":0.28706431523243553,""UOM"":""EA."",""MinQty"":1,""MaxQty"":304},{""DiscountPercentage"":0.5404820675004539,""UOM"":""EA."",""MinQty"":1,""MaxQty"":7944},{""DiscountPercentage"":0.2630591087436461,""UOM"":""EA."",""MinQty"":1,""MaxQty"":3980},{""DiscountPercentage"":0.3479236389515756,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":5219},{""DiscountPercentage"":0.16113543412710415,""UOM"":""Case"",""MinQty"":1,""MaxQty"":2749},{""DiscountPercentage"":0.7201138303081746,""UOM"":""Box"",""MinQty"":1,""MaxQty"":6784},{""DiscountPercentage"":0.941508603709434,""UOM"":""Box"",""MinQty"":1,""MaxQty"":337},{""DiscountPercentage"":0.3602871920989687,""UOM"":""Case"",""MinQty"":1,""MaxQty"":754},{""DiscountPercentage"":0.7198433655016125,""UOM"":""Case"",""MinQty"":1,""MaxQty"":2440}]",5836213f1c4b4ccf96072ec9eda972c1,
b7261408550445a8a3d3432b2b4efb8b,"[""1eb2e44592494dfd94be9a2795960831""]",PRODUCT_DISCOUNT,"[{""DiscountPercentage"":0.20014942897533397,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":2662}]",,d324a6930b41455195f4cb8cda07d39b
6ab7dddfc9eb49a9a22d85058993c4ed,"[""e76262433e884ee3a8b3bf81f7e38538""]",PRODUCT_DISCOUNT,"[{""DiscountPercentage"":0.7797774712751543,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":7313}]",,620ab9269d944e01abcf740679bb5a0d
aaf2f6f6c8cd499c9eb377eaacc9192b,"[""d615f85d0f134114ab6d7a431a1f1f25"",""8bcb2a30a26b4f1b90d1de451f6522d9""]",SUPPLIER_DISCOUNT,"[{""DiscountPercentage"":0.6504077962872616,""UOM"":""Box"",""MinQty"":1,""MaxQty"":1272},{""DiscountPercentage"":0.334896134584039,""UOM"":""EA."",""MinQty"":1,""MaxQty"":2321}]",1a72f1c0f08c4993a4bffa29ebd9d395,
ff0cc53b897b4c32ae0bb460dc65ecaa,"[""03d0aa0381534024bce44fe81f56bfd8""]",BULK_DISCOUNT,"[{""DiscountPercentage"":0,""UOM"":""Case"",""MinQty"":50,""MaxQty"":50},{""DiscountPercentage"":1.7440412431561652,""UOM"":""Case"",""MinQty"":51,""MaxQty"":100},{""DiscountPercentage"":3.4880824863123303,""UOM"":""Case"",""MinQty"":52,""MaxQty"":150},{""DiscountPercentage"":5.232123729468496,""UOM"":""Case"",""MinQty"":53,""MaxQty"":200}]",,2e299bfe71894efe96adc6a5a312743b
32541fa60d0e4000aa08f3b7fa0fb9a2,"[""01f410ed36a3408283c1672301cd7af1"",""37dacef5b5684c30bd969ca75c8623c2""]",SUPPLIER_DISCOUNT,"[{""DiscountPercentage"":0.8233767032632465,""UOM"":""Box"",""MinQty"":1,""MaxQty"":8024},{""DiscountPercentage"":0.5518352159317069,""UOM"":""EA."",""MinQty"":1,""MaxQty"":6921}]",0d8f04c49784468a995ba2880cf9ba15,
19aa1c4c3add431c8fdad42c648348c5,"[""47d3a09444194f2d83327139c3192e4a"",""28d7bda5d921488b901f602b27dd8a27"",""3fdb355fe1a44e73bc08c47f0dfb2ba5"",""a9649ac1f96146ed8120e2def9cd8773"",""a8e09bdf1410472b96cca9cd774c6ca1"",""676cf1d300924c11886838ddac00ac44"",""e0a4ed485c434d8fa493df02cbd7fd5b"",""7a965bb736b24658ba894b4aa2747485"",""8d0236f53201448591a2970e57ff4bc6"",""1ad64c547cc74605b8c360ba9de929b7"",""b4c8762cfd254c3ca37012afe58cd2e3"",""91358c0c65fe4a55b97ed119ae7c4d6f"",""cfa2f1f97e3d4c11aa20023e7cc89470"",""544971400f5c4e5b9893a6bd97ebb702"",""ffa51f2079bf4facb5cf1ddf90f13fa1"",""a34e776c0436467ab6840709532fb71c"",""a328c1f393d648f98861d4c1b9e9f6c6""]",SUPPLIER_DISCOUNT,"[{""DiscountPercentage"":0.5429686902917773,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":5908},{""DiscountPercentage"":0.929915850916135,""UOM"":""Case"",""MinQty"":1,""MaxQty"":8866},{""DiscountPercentage"":0.11344679044437354,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":6943},{""DiscountPercentage"":0.9646518354580323,""UOM"":""Case"",""MinQty"":1,""MaxQty"":1780},{""DiscountPercentage"":0.8306571940052668,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":6230},{""DiscountPercentage"":0.2869380205701463,""UOM"":""EA."",""MinQty"":1,""MaxQty"":9532},{""DiscountPercentage"":0.6577984480758639,""UOM"":""EA."",""MinQty"":1,""MaxQty"":6536},{""DiscountPercentage"":0.874819968645518,""UOM"":""Case"",""MinQty"":1,""MaxQty"":2965},{""DiscountPercentage"":0.9129699382339739,""UOM"":""EA."",""MinQty"":1,""MaxQty"":864},{""DiscountPercentage"":0.11664256238075697,""UOM"":""Box"",""MinQty"":1,""MaxQty"":3387},{""DiscountPercentage"":0.3031902641459878,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":5089},{""DiscountPercentage"":0.18722996171728118,""UOM"":""Case"",""MinQty"":1,""MaxQty"":7143},{""DiscountPercentage"":0.15134825239183625,""UOM"":""Case"",""MinQty"":1,""MaxQty"":5172},{""DiscountPercentage"":0.4789519362282566,""UOM"":""Pallet"",""MinQty"":1,""MaxQty"":4881},{""DiscountPercentage"":0.10221125193999267,""UOM"":""Kit"",""MinQty"":1,""MaxQty"":5881},{""DiscountPercentage"":0.33567330546373364,""UOM"":""EA."",""MinQty"":1,""MaxQty"":8647},{""DiscountPercentage"":0.9511447438594386,""UOM"":""Case"",""MinQty"":1,""MaxQty"":5810}]",e9409e8307ec45d796bc38cce9d350a7,
